Age in years at screening,DHEAS (µmol/L),Follicle Stimulating Hormone (mIU/mL),Androstenedione (nmol/L),Anti-Mullerian hormone (pmol/L),Total Cholesterol (mg/dL),Hepatitis A antibody,Red blood cell count (million cells/uL),Segmented neutrophils percent (%),Lymphocyte percent (%),"Testosterone, total (nmol/L)",HS C-Reactive Protein (mg/L),RBC folate (nmol/L),RBC folate (ng/mL),Total Cholesterol (mmol/L),Hemoglobin (g/dL),Fasting Glucose (mg/dL),Fasting Glucose (mmol/L),Glycohemoglobin (%),Progesterone (nmol/L),Insulin (pmol/L),Insulin (uU/mL),Red cell distribution width (%),Blood manganese (nmol/L),Serum total folate (nmol/L),Blood cadmium (nmol/L),Ferritin (ng/mL),17α-hydroxyprogesterone (nmol/L),5-Methyl-tetrahydrofolate (nmol/L),Fasting Subsample 2 Year MEC Weight,Luteinizing Hormone (mIU/mL),Mean platelet volume (fL),Mean cell volume (fL),Mean cell hemoglobin (pg)
48.0,2.21,8.030000000000001,2.0549999999999997,2.39,192.5,2.0,4.715,56.5,31.3,1.24,1.825,1055.0,466.0,4.98,14.0,99.0,5.5,5.4,0.192,50.67,8.445,13.3,174.74,27.1,2.3085,60.849999999999994,1.34,25.65,56309.25872256872,8.125,7.9,87.95,30.15
49.0,2.3,7.255,2.13,4.75,200.0,2.0,4.725,57.8,30.5,4.945,2.11,1080.0,477.0,5.17,13.95,100.0,5.55,5.55,0.154,66.66,11.11,13.5,157.175,30.55,2.4154999999999998,48.25,1.46,29.1,50101.11792858612,7.76,8.0,88.5,30.1
50.0,1.78,7.96,1.99,1.14,188.0,2.0,4.68,59.7,27.8,1.22,2.51,1120.0,494.0,4.86,13.6,103.0,5.72,5.6,0.124,75.06,12.51,13.7,174.38,33.1,2.927,,1.48,31.200000000000003,72965.18261949254,9.14,7.9,88.6,30.0
51.0,2.03,9.34,2.33,0.36,200.5,2.0,4.72,58.8,29.3,1.17,2.6399999999999997,1110.0,490.0,5.1850000000000005,14.1,103.0,5.72,5.6,0.1735,59.94,9.99,13.6,162.0,29.25,2.367,,1.2000000000000002,27.6,80346.35540613472,8.41,8.2,89.3,30.0
52.0,2.005,19.424999999999997,2.025,0.32499999999999996,197.0,2.0,4.725,57.3,31.7,1.33,1.85,1100.0,486.0,5.09,14.1,97.0,5.38,5.6,0.144,61.620000000000005,10.27,13.6,169.64,31.3,2.456,,1.19,29.3,58991.971133485116,11.17,8.0,87.85,29.8
53.0,2.115,23.405,1.915,0.14,199.0,2.0,4.72,57.2,31.4,0.992,2.55,1090.0,481.0,5.15,13.8,101.0,5.61,5.6,0.121,64.65,10.774999999999999,13.7,169.37,31.15,2.362,,0.8335,29.9,60782.14403581111,14.695,8.2,87.9,29.8
54.0,1.8199999999999998,31.95,2.17,0.14,192.0,2.0,4.59,56.3,32.8,0.916,2.4,1160.0,512.0,4.97,14.3,101.0,5.61,5.6,0.125,65.28,10.88,13.5,165.64,34.0,2.4284999999999997,,0.8745,32.6,62617.465575214,21.35,8.1,89.0,30.2
55.0,1.8450000000000002,32.724999999999994,2.0149999999999997,0.14,200.0,2.0,4.74,57.5,31.1,1.5350000000000001,2.535,1075.0,474.5,5.17,14.3,106.0,5.88,5.7,0.1085,57.06,9.51,13.6,157.63,27.4,2.811,,0.993,25.3,65615.32148814066,20.785,8.0,89.9,30.4
56.0,1.98,15.97,1.99,6.28,190.0,2.0,4.645,57.650000000000006,30.7,3.92,2.22,1120.0,494.5,4.91,13.850000000000001,100.0,5.55,5.6,0.111,56.04,9.34,13.6,157.08,31.9,2.411,,1.12,29.5,77833.95093820483,12.71,7.95,89.2,30.0
57.0,1.63,25.99,1.81,0.14,200.0,2.0,4.66,57.25,31.6,1.44,2.31,1075.0,474.5,5.175000000000001,13.9,105.0,5.83,5.7,0.108,71.31,11.885,13.6,159.72500000000002,30.8,2.5625,,1.04,28.4,61710.71511859661,12.69,8.1,88.6,30.3
58.0,1.72,32.95,2.03,0.14,187.0,2.0,4.73,58.9,29.15,1.5899999999999999,1.97,1145.0,505.5,4.84,14.2,104.5,5.8,5.65,0.118,61.8,10.3,13.6,153.44,30.299999999999997,2.918,,1.02,28.5,63867.37966250809,16.58,7.9,90.5,30.8
59.0,1.67,26.19,1.83,0.14,190.0,2.0,4.65,59.4,29.7,2.255,2.225,1110.0,490.0,4.91,14.149999999999999,104.0,5.77,5.7,0.1015,63.12,10.52,13.7,159.27,32.2,2.936,,0.991,30.25,62565.134978277296,15.03,8.3,88.75,30.15
